wuccode,wucorigdesc,discrepency,correctiveaction,ecage,epartno,eserno
1312130,"WHL TIRE ASSY, LH",L/H MLG TIRE WORN BEYOND LIMITS.,REMOVED AND REPLACED L/H MLG TIRE IAW MQ4C-AA-32-41-01-00A-720A-A,78022,3671263L01024-1,6743
1312230,"WHL TIRE ASSY, RH",RIGHT HAND MLG TIRE WORN OUT OF LIMITS,"REMOVED AND REPLACED RIGHT HAND MLG TIRE IAW MQ4C-AA-32-41-01-00A-720A-A, MQ4C-AA-32-42-01-00A-720A-A, WHEEL SPEED SENSOR CHECK GOOD.",78022,3671263L01024-1,5775
1312130,"WHL TIRE ASSY, LH",LEFT HAND MAIN LANDING GEAR TIRE WORN OUT OF LIMITS,"REMOVED AND REPLACED LEFT HAND MLG TIRE IAW MQ4C-AA-32-41-01-00A-720A-A, MQ4C-AA-32-42-01-00A-720A-A, WHEEL SPEED SENSOR CHECK GOOD.",78022,3671263L01024-1,6732
1312130,"WHL TIRE ASSY, LH",REMOVE LEFT SIDE WHEEL AND TIRE ASSY FOR SDD1.,REMOVED AND REPLACED LEFT SIDE MLG TIRE AND WHEEL ASSY AS REQUIRED IAW MQ4C-AA-32-41-01-00A-720A-A_000-41. REFER TO MCN 0R0WY53 FOR L/H MLG DOOR BOLT INSTALLATION. REFER TO MCN 0R0WYB5 FOR WHEEL SPEED SENSOR CHECKS.,78022,3671263L01024-1,6931
1312230,"WHL TIRE ASSY, RH",REMOVE AND REPLACE R/H MLG TIRE DUE TO LEAKING BELOW 177PSI,REMOVED AND REPLACED R/H MLG WHEEL AND TIRE IAW MQ4C-AA-32-41-01-00A-720A-A,78022,3671263L01024-1,6906
1312131,"WHEEL ASSY, MLG",L/H MAIN LANDING GEAR TIRE IS WORN OUT OF LIMITS,REMOVED AND REPLACED L/H MLG TIRE IAW MQ4C-AA-32-41-01-00A-720A-A. PERFORMED WHEEL SPEED TRANSDUCER CHECK IAW MQ4C-AA-32-42-01-00A-320A-A.,78022,367W0001-1,5775
1312130,"WHL TIRE ASSY, LH",REMOVE AND REPLACE LH MLG TIRE AND WHEEL ASSEMBLY DUE TO NOT BEING INFALTED TO STORAGE PRESSURE AFTER REMOVING AND NOT REINSTALLING IN AN UNINTERRUPTED PROCESS IAW NAVAIR 04-10-506 PARAGRAPH 3-17C(4).,REMOVED AND REPLACED L/H MLG TIRE AND WHEEL ASSEMBLY AS REQUIRED IAW MQ4C-AA-32-41-01-00A-720A-A. REFER TO MCN 0R0XFF0 AND WOSN 001002195306 FOR OPERATIONAL CHECK,78022,3671263L01024-1,6736
1312230,"WHL TIRE ASSY, RH",REMOVE AND REPLACE RH MLG TIRE AND WHEEL ASSEMBLY DUE TO NOT BEING INFALTED TO STORAGE PRESSURE AFTER REMOVING AND NOT REINSTALLING IN AN UNINTERRUPTED PROCESS IAW NAVAIR 04-10-506 PARAGRAPH 3-17C(4).,REMOVED AND REPLACED R/H MLG TIRE AND WHEEL ASSEMBLY AS REQUIRED IAW MQ4C-AA-32-41-01-00A-720A-A. REFER TO MCN 0R0XFF0 AND WOSN 001002195306 FOR OPERATIONAL CHECK,78022,3671263L01024-1,6737
1312231,"3-1506 WHEEL ASSY, MLG",STBD MLG TIRE WORE BEYOND LIMITS,REMOVED AND REPLACED STBD MLG TIRE IAW IETM MQ4C-AA-32-41-01-00A-720A-A_000-46 . INFLATED TIRE TO 320 PSI IAW MQ4C-AA-32-41-01-00A-720A-A_000-46 CHECKS GOOD FOR SECURITY AREA CORROSION AND FOD FREE,78022,367W0001-1,6729
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",RH MLG TIRE HAVE A SLOW LEAK.,REMOVED AND REPLACED RH MLG TIRE AND WHEEL ASSY IAW IETMS MQ4C-AA-32-41-01-00A-720A-A.,78022,3671263L01024-1,6931
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT TIRE WORN BEYOND LIMITS.,"REMOVED AND REPLACED PORT TIRE IAW:MQ4C-AA-32-41-01-00A-520A-A_002-00_EN-US , AND  MQ4C-AA-32-41-01-00A-720A-A_003-00_EN-US. AREA SECURE AND FOD FREE. PEMA S/N:5699",78022,3671263L01024-1,6883
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STBD TIRE WORN BEYOND LIMITS.,"REMOVED AND REPLACED STBD TIRE IAW:MQ4C-AA-32-41-01-00A-520A-A_002-00_EN-US , AND  MQ4C-AA-32-41-01-00A-720A-A_003-00_EN-US. AREA SECURE AND FOD FREE. PEMA S/N:5699",78022,3671263L01024-1,6860
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG TIRE SHOWING EXPOSED CROSS THREAD ON INSIDE CAMBER.,REMOVED AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00 AND DMC-MQ4C-AA-32-41-01-00A-720A-A_004-00. ALL TORQUES VERIFIED. PEMA S/N 6665. AREA CORROSION AND FOD FREE.,78022,3671263L01024-1,2428
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MAIN LANDING GEAR TIRE FOUND BELOW LIMITS.  RECOMMEND REPLACING TIRE ASSEMBLY AS PER DMC-MQ4C-AA-12-13-02-00A-214A-A_002-00.,PORT MLG TIRE REMOVED AND REPLACED IAW DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00 TIRE REMOVAL AND DMC-MQ4C-AA-32-41-01-00A-720A-A_004-00 TIRE INSTALLATION PEMA SN: 6665. ATAF AREA FOD AND CORROSION FREE.,78022,3671263L01024-1,6804
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STBD MLG TIRE WORN BEYOND LIMITS.,"REMOVED AND REPLACED STBD MLG TIRE IAW:DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00, AND: DMC-MQ4C-AA-32-41-01-00A-720A-A_004-00. AREA SECURE. FOD AND CORROSION FREE. PEMA S/N:6665.",78022,3671263L01024-1,3438
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STARBOARD MLG WHEEL TIRE ASSY NEEDS TO BE CHANGED.,REMOVED AND REPLACED STBD MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 01-1A-506. ATAF. AREA FOD AND CORROSION FREE AT TIME OF INSPECTION. PEMA S/N: 8554,78022,3671263L01024-1,6803
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG TIRE IS WORN OUT OF LIMITS ON INNER EDGE OF TIRE.,REMOVED AND REPLACED WORN PORT MLG TIRE IAW MQ4C-AA-32-41-01-00A-720A-A_005-00. ATAF. FOD AND CORROSION FREE. PEMA S/N:8554.,78022,3671263L01024-1,6959
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STARBOARD MAIN LANDING GEAR TIRE WORN BEYOND LIMITATIONS.,REMOVED AND REPLACED STBD MLG TIRE IAW MQ4C-AA-32-41-01-00A-520A-A_002-00 & MQ4C-AA-32-41-01-00A-720A-A_005-00. AREA FOD AND CORROSION FREE AT TIME OF INSPECTION. ATAF. PEMA SN: 8554.,78022,3671263L01024-1,2824
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MAIN LANDING GEAR TIRE WORN BEYOND LIMITATIONS.,REMOVED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00 AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-720A-A_005-00. ALL TORQUES VERIFIED. ATAF. AREA FOD AND CORROSION FREE.,78022,3671263L01024-1,1355
1312130,"3671263L01024 WHL TIRE ASSY, LH",UNUSUAL SCREECHING SOUND COMING FROM PORT WHEEL ASSEMBLY DURING AIRCRAFT MOVE.,REMOVED AND REPLACED PORT MLG WHEEL ASSEMBLY IAW DMC-MQ4C-AA-32-41-01-00A-520A-A-002-00 AND DMC-MQ4C-AA-32-41-01-00A-720A-A_005-00. SERVICED TIRE TO 325PSIG. AREA FOD AND CORROSION FREE. ATAF. PEMA S/N 8538.,78022,3671263L01024-1,3561
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STBD MLG TIRE WORN,REMOVED AND REPLACED STBD MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-720A-A_005-00. TORQUES VERIFIED. TIRES SERVICED TO 325 PSIG. NO CORROSION PRESENT AT TIME OF COMPLETION. AREA FOD FREE. ATAF. PEMA S/N 8554.,78022,3671263L01024-1,4100
1312130,"3671263L01024 WHL TIRE ASSY, LH",DURING DAILY WHILE CHECKING TIRE PRESSURES PORT MLG TIRE STARTED LEAKING FROM VALVE STEM.,REMOVED AND REPLACED PORT MLG WHEEL ASSEMBLY IAW DMC-MQ4C-AA-32-41-01-00A-520A-A-002-00 AND DMC-MQ4C-AA-32-41-01-00A-720A-A_005-00. SERVICED TIRE TO 325PSIG. AREA FOD AND CORROSION FREE. ATAF. PEMA S/N 8538.,78022,3671263L01024-1,3907
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG TIRE TREAD IS WORN BEYOND LIMITS DUE TO CHUNKING AS DEFINED IN NA 04-10-506.,"REMOVED AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 01-1A-506. ATAF, AREA FOD AND CORROSION FREE AT TIME OF COMPLETION. PEMA SN: 8538.",78022,3671263L01024-1,1218
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STBD MLG TIRE TREAD IS WORN BEYOND LIMITS DUE TO CHUNKING AS DEFINED IN NA 04-10-506.,"REMOVED AND REPLACED STBD MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 01-1A-506. ATAF, AREA FOD AND CORROSION FREE AT TIME OF COMPLETION. PEMA SN: 8538.",78022,3671263L01024-1,652
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT TIRE EMERGENCY DEFLATED DUE TO BRAKE FIRE.,REMOVED AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 04-10-506  PEMA SN: 8538. ATAF. AREA FOD AND CORROSION FREE.,78022,3671263L01024-1,4100
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",STBD TIRE EMERGENCY DEFLATED DUE TO BRAKE FIRE.,REMOVED AND REPLACED STBD MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 04-10-506  PEMA SN: 8538. ATAF. AREA FOD AND CORROSION FREE.,78022,3671263L01024-1,3907
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG TIRE WORN.,WORN PORT MLG TIRE REMOVED AND REPLACED IAW: DMC-MQ4C-AA-32-41-01-00A-720A-A_006-00. PEMA SN: 8538. AREA FOD AND CORROSION FREE. ATAF.,78022,3671263L01024-1,1071
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",WORN STBD MLG TIRE.,WORN STBD MLG TIRE REMOVED AND REPLACED IAW: DMC-MQ4C-AA-32-41-01-00A-720A-A_006-00. PEMA SN: 8538. AREA FOD AND CORROSION FREE. ATAF.,78022,3671263L01024-1,D0060
1312230,"3671263L01024-1 WHL TIRE ASSY, RH","STBD MLG TIRE IS WORN BEYOND LIMITS, IS SHOWING CHORD AND TIRE CHUNCKING.",REMOVED AND REPLACED STBD MLG TIRE DUE TO BEING WORN BEYOND LIMITS IAW: DMC-MQ4C-AA-32-41-01-00A-720A-A_006-00. PEMA SN: 8554. AREA FOD AND CORROSION FREE. ATAF.,78022,3671263L01024-1,1079
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MAIN LANDING GEAR TIRE WORN BEYOND LIMITS.,REMOVED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00 AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-720A-A_005-00. ALL TORQUES VERIFIED. ATAF. AREA FOD AND CORROSION FREE.,78022,3671263L01024-1,2501
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",WORN STBD MLG TIRE,"REMOVED AND REPLACED STBD MLG TIRE IAW: DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00  AND DMC-MQ4C-AA-32-41-01-00A-720A-A_006-00. PEMA SN: 8554. AREA SECURED, FOD AND CORROSION FREE. ATAF.",78022,3671263L01024-1,6803
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG TIRE WORN BEYOND LIMITS.,REMOVED AND REPLACED PORT MLG TIRE IAW DMC-MQ4C-AA-32-41-01-00A-520A-A AND DMC-MQ4C-AA-32-41-01-00A-720A-A AND 01-1A-506. ATAF. AREA FOD AND CORROSION FREE AT TIME OF INSPECTION. PEMA S/N:8538,78022,3671263L01024-1,2824
1312230,"3671263L01024-1 WHL TIRE ASSY, RH","STBD MLG TIRE PRESSURE 150 PSI, BELOW LIMITS WHILE ON DECK.",REMOVED AND REPLACED STBD MAIN LANDING GEAR TIRE AND WHEEL ASSEMBLY IAW MQ4C-AA-32-41-01-00A-520A-A_002-00 & MQ4C-AA-32-41-01-00A-720A-A_006-00 RESPECTIVELY.  ATAF.  AREA FOD AND CORROSION FREE.  PEMA S/N: 8554.,78022,3671263L01024-1,3561
1312130,"3671263L01024 WHL TIRE ASSY, LH",PORT MLG WHEEL THREADED INSERT FOR HUB CAP BROKE,REMOVED AND REPLACE PORT MLG TIRE IAW:DMC-MQ4C-AA-32-41-01-00A-520A-A_002-00 AND DMC-MQ4C-AA-32-41-01-00A-720A-A_006-00. AREA SECURE. FOD AND CORROSION FREE AND TIME OF INSPECTION. PEMA S/N:8554.,78022,3671263L01024-1,652
1312230,"3671263L01024-1 WHL TIRE ASSY, RH",REPLACE STBD MLG TIRE FOR FERRY FLIGHT TO MISAWA,REMOVED AND REPLACED STBD MLG TIRE FOR FERRY FLIGHT TO MISAWA IAW MQ4C-AA-32-41-01-00A-520A-A_002-00 & MQ4C-AA-32-41-01-00A-720A-A_006-00 RESPECTIVELY.  AREA FOD AND CORROSION FREE.  ATAF.  PEMA S/N: 8554.,78022,3671263L01024-1,60
1312130,"3671263L01024 WHL TIRE ASSY, LH",REPLACE PORT MLG TIRE FOR FERRY FLIGHT TO MISAWA,REMOVED AND REPLACED PORT MLG TIRE FOR FERRY FLIGHT TO MISAWA IAW MQ4C-AA-32-41-01-00A-520A-A_002-00 & MQ4C-AA-32-41-01-00A-720A-A_006-00 RESPECTIVELY.  AREA FOD AND CORROSION FREE.  ATAF.  PEMA S/N: 8554.,78022,3671263L01024-1,6959